"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-May-2024","EQ","212.85","222.60","210.55","211.85","219.00","218.65","218.88","289.25","63.70","1,04,40,953","2,28,52,93,514.15","78,158"
"23-May-2024","EQ","210.30","216.80","210.10","209.60","212.40","211.85","213.32","289.25","63.70","43,15,317","92,05,26,417.80","41,544"
"22-May-2024","EQ","213.70","214.75","208.50","211.95","210.00","209.60","210.48","289.25","63.70","31,70,858","66,73,96,909.70","37,873"
"21-May-2024","EQ","214.00","216.45","210.00","213.75","212.35","211.95","213.18","289.25","63.70","36,67,361","78,18,00,109.25","37,018"
"18-May-2024","EQ","211.10","215.05","210.30","209.20","213.00","213.75","213.21","289.25","62.20","8,54,799","18,22,52,618.55","8,864"
"17-May-2024","EQ","210.00","211.30","207.30","208.70","209.15","209.20","209.37","289.25","62.20","32,68,675","68,43,53,829.05","32,436"
"16-May-2024","EQ","211.80","216.80","208.00","210.45","208.95","208.70","211.89","289.25","62.20","36,20,949","76,72,38,034.00","33,549"
"15-May-2024","EQ","210.60","213.65","209.65","209.95","210.05","210.45","211.50","289.25","62.20","35,90,719","75,94,33,845.85","41,012"
"14-May-2024","EQ","206.00","214.45","204.50","205.40","209.75","209.95","208.76","289.25","62.20","68,23,380","1,42,44,42,353.60","62,419"
"13-May-2024","EQ","210.80","210.80","199.50","210.55","205.45","205.40","203.85","289.25","62.20","59,39,153","1,21,06,85,783.45","66,096"
"10-May-2024","EQ","218.00","218.35","207.40","214.45","211.50","210.55","212.30","289.25","60.75","49,39,616","1,04,87,00,273.70","58,375"
"09-May-2024","EQ","222.00","222.65","213.15","221.75","214.95","214.45","216.77","289.25","60.75","33,80,710","73,28,27,553.65","43,513"
"08-May-2024","EQ","215.80","227.35","215.50","214.70","221.70","221.75","221.25","289.25","60.75","66,88,582","1,47,98,69,624.55","62,788"
"07-May-2024","EQ","231.15","233.90","214.00","229.05","215.50","214.70","221.77","289.25","60.75","80,75,118","1,79,08,32,326.55","89,178"
"06-May-2024","EQ","254.00","256.50","228.00","251.50","230.75","229.05","237.43","289.25","60.75","1,18,18,155","2,80,60,28,017.45","1,23,037"
"03-May-2024","EQ","255.35","258.60","248.00","254.05","250.45","251.50","253.02","289.25","60.30","57,41,569","1,45,27,35,531.45","54,794"
"02-May-2024","EQ","251.40","257.15","246.15","250.15","253.80","254.05","253.19","289.25","60.30","57,86,927","1,46,52,17,696.05","50,247"
